dim 1, dim 2
5.0,10.0
6.982577972173061,12.842626669671004
8.892403043953239,15.324267783382627
10.733096014265145,17.466124371316095
12.508115022602826,19.288931173285036
14.220755549029748,20.81295663873539
15.8741504141788,22.05800292674545
17.47126977925229,23.043405906025864
19.01492114602197,23.78803515491966
20.507749356829,24.310293961402152
21.952236594583955,24.628119323081055
23.350702382766855,24.758981947196396
24.705303585427135,24.71988625062059
26.018034407183656,24.52737035985838
27.29072639322469,24.197506111046852
28.52504842930797,23.745899049955455
29.7225067417606,23.18768843198598
30.88444489747915,22.53754722217257
32.01204380392961,21.80968209518172
33.10632170914736,21.01783343531227
34.168134216918794,20.175275325651437
35.198193886158236,19.29480154851986
36.197194279327334,18.38863697945774
37.165890136183954,17.46838032026133
38.1051012602582,16.545001322928666
39.0157125188524,15.628840789659558
39.898673843041124,14.729610572855586
40.75500022767114,13.856393575120096
41.58577173136152,13.017643749258225
42.39213347650348,12.221186098276863
43.1752956492605,11.47421667538469
43.93653349956832,10.783302583992155
44.677187341134875,10.154381977711479
45.39866255144033,9.592764060356656
46.1024295717371,9.103129085943449
46.790023907049815,8.689528358689405
47.463046126175335,8.355384233013833
48.12316186168281,8.103490113537834
48.77210180991348,7.936010455084258
49.41166173098095,7.8544807626777455
50.04370204392975,7.859807950118383
50.67008909945167,7.952322355575887
51.29247021466391,8.131976996500327
51.912180281293395,8.398430288087496
52.53023971616792,8.751047858558143
53.14735446121622,9.188902549157996
53.76391598346785,9.710774414157724
54.38000127505328,10.315150720852978
54.99537285320391,11.000225949564374
55.60947876025195,11.763901793637471
56.22145256363054,12.603787159442811
56.83011335587371,13.517198166375893
57.433965754616345,14.501158146857179
58.03119990259426,15.552397646332091
58.619691467644124,16.667354423271018
59.197001642703505,17.842173449169334
59.76037714581086,19.072706908547325
60.30675022010552,20.354514198950294
60.83273863382773,21.68286193094847
61.33464568031858,23.052723928137063
61.80846211041413,24.458783218087696
62.249954187585864,25.895522755826462
62.65487579800703,27.357443961478094
63.0190238219915,28.83912376962714
63.33823851570143,30.33521502259254
63.60840351114698,31.84044647042737
63.82544581618655,33.34962277091906
63.985335814526685,34.857624489589305
64.08408726572208,36.359408099694036
64.11775730517556,37.85000598222348
64.08244644413813,39.32452642590209
63.97429856970892,40.77815362718864
63.78950094483526,42.20614769027616
63.524284208312615,43.603844627091924
63.174922374784586,44.966656357297516
62.73773283474288,46.290070708288695
62.209076354527475,47.56965141519562
61.585357076326446,48.801038120882666
60.86302251817598,49.9799463759484
60.038563573960474,51.10216763872578
59.10852228636446,52.16352707925687
58.06965219437044,53.15901312144737
56.919166430097675,54.081430631656595
55.65477691755605,54.921188125461576
54.27469440300922,55.66629760282888
52.777628454974646,56.30237454811459
51.162787464223484,56.81263793006431
49.42987864378075,57.177910201813134
47.57910802892515,57.376617300885705
45.61118047718912,57.38478864919614
43.527299668359035,57.17605715304814
41.32916810447481,56.721659203134834
39.018987109830334,55.99043467453896
36.59945683097308,54.94882692673271
34.07377623670445,53.5608828035778
31.445643118079495,51.788252633325484
28.71925408840704,49.59019022861649
25.899304583249776,46.92355288648116
22.990988860424025,43.7428013883392
20.0,40.0
